locus_tag	ftype	length_bp	gene	EC_number	COG	product
VP181_00001	CDS	891	gltC			HTH-type transcriptional regulator GltC
VP181_00002	CDS	1485	ilvC	1.1.1.86	COG0059	Ketol-acid reductoisomerase (NADP(+))
VP181_00003	CDS	252	yqiC		COG2960	putative protein YqiC
VP181_00004	CDS	3123	bepE_1			Efflux pump membrane transporter BepE
VP181_00005	CDS	1086	mdtA_1			Multidrug resistance protein MdtA
VP181_00006	CDS	582			COG1309	putative HTH-type transcriptional regulator
VP181_00007	CDS	2016	rep	3.6.4.12	COG0210	ATP-dependent DNA helicase Rep
VP181_00008	CDS	423			COG3245	Cytochrome c5
VP181_00009	tRNA	77				tRNA-Arg(ccg)
VP181_00010	tRNA	76				tRNA-His(gtg)
VP181_00011	tRNA	77				tRNA-Pro(tgg)
VP181_00012	tRNA	76				tRNA-His(gtg)
VP181_00013	tRNA	77				tRNA-Pro(tgg)
VP181_00014	CDS	726	yfnB	3.-.-.-	COG1011	Putative HAD-hydrolase YfnB
VP181_00015	CDS	279				hypothetical protein
VP181_00016	CDS	1716	gsiA	3.6.3.-	COG1123	Glutathione import ATP-binding protein GsiA
VP181_00017	CDS	1554	dppA		COG0747	Periplasmic dipeptide transport protein
VP181_00018	CDS	978	dppB		COG0601	Dipeptide transport system permease protein DppB
VP181_00019	CDS	957	dppC_1		COG1173	Dipeptide transport system permease protein DppC
VP181_00020	CDS	1005				hypothetical protein
VP181_00021	CDS	141				hypothetical protein
VP181_00022	CDS	2322				hypothetical protein
VP181_00023	CDS	1575				hypothetical protein
VP181_00024	CDS	573				hypothetical protein
VP181_00025	CDS	1473				hypothetical protein
VP181_00026	CDS	1353	prkC_1	2.7.11.1	COG0515	Serine/threonine-protein kinase PrkC
VP181_00027	CDS	1008	gntR_1			HTH-type transcriptional regulator GntR
VP181_00028	CDS	936	leuO_1			HTH-type transcriptional regulator LeuO
VP181_00029	CDS	405	mdtJ		COG2076	Spermidine export protein MdtJ
VP181_00030	CDS	330	mdtI		COG2076	Spermidine export protein MdtI
VP181_00031	CDS	1797	edd	4.2.1.12	COG0129	Phosphogluconate dehydratase
VP181_00032	CDS	525	gntK	2.7.1.12	COG3265	Thermoresistant gluconokinase
VP181_00033	CDS	1377	ygbN		COG2610	Inner membrane permease YgbN
VP181_00034	CDS	612	eda_1		COG0800	Putative KHG/KDPG aldolase
VP181_00035	CDS	825	xapA	2.4.2.1	COG0005	Purine nucleoside phosphorylase 2
VP181_00036	CDS	906	benM_1			HTH-type transcriptional regulator BenM
VP181_00037	CDS	1356	gor	1.8.1.7	COG1249	Glutathione reductase
VP181_00038	CDS	840	rlmJ	2.1.1.266	COG2961	Ribosomal RNA large subunit methyltransferase J
VP181_00039	CDS	2043	prlC	3.4.24.70	COG0339	Oligopeptidase A
VP181_00040	CDS	465	asnC		COG1522	Regulatory protein AsnC
