locus_tag	ftype	length_bp	gene	EC_number	COG	product
VP145_00001	CDS	357	yibL			putative protein YibL
VP145_00002	CDS	996	ldhA	1.1.1.28	COG1052	D-lactate dehydrogenase
VP145_00003	CDS	483				hypothetical protein
VP145_00004	CDS	711	ugpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, cytoplasmic
VP145_00005	CDS	954	ldh	1.1.1.27	COG0039	L-lactate dehydrogenase
VP145_00006	CDS	666	cpxR_1		COG0745	Transcriptional regulatory protein CpxR
VP145_00007	CDS	1374	cpxA_1	2.7.13.3		Sensor histidine kinase CpxA
VP145_00008	CDS	2094	fhuE		COG4773	FhuE receptor
VP145_00009	CDS	759				hypothetical protein
VP145_00010	CDS	1368	exbB_1		COG0811	Biopolymer transport protein ExbB
VP145_00011	CDS	555				hypothetical protein
VP145_00012	CDS	405	exbD		COG0848	Biopolymer transport protein ExbD
VP145_00013	CDS	621	tonB		COG0810	Protein TonB
VP145_00014	CDS	1170				hypothetical protein
VP145_00015	CDS	630				hypothetical protein
VP145_00016	CDS	540				hypothetical protein
VP145_00017	CDS	831				hypothetical protein
VP145_00018	CDS	321				hypothetical protein
VP145_00019	CDS	555				hypothetical protein
VP145_00020	CDS	843	psaA_1		COG0803	Manganese ABC transporter substrate-binding lipoprotein
VP145_00021	CDS	735	znuC_1	3.6.3.-	COG1121	Zinc import ATP-binding protein ZnuC
VP145_00022	CDS	876	znuB_1		COG1108	High-affinity zinc uptake system membrane protein ZnuB
VP145_00023	CDS	828				hypothetical protein
VP145_00024	CDS	1050	ompC_1			Outer membrane protein C
VP145_00025	CDS	2166	ptrB_1	3.4.21.83	COG1770	Protease 2
VP145_00026	CDS	1206	emrD			Multidrug resistance protein D
VP145_00027	CDS	921	speB	3.5.3.11	COG0010	Agmatinase
VP145_00028	CDS	1923	speA	4.1.1.19		Biosynthetic arginine decarboxylase
VP145_00029	CDS	762		3.5.2.6		Metallo-beta-lactamase L1 type 3
VP145_00030	CDS	429				hypothetical protein
VP145_00031	CDS	906	rimK	6.3.2.-	COG0189	Ribosomal protein S6--L-glutamate ligase
VP145_00032	CDS	228				hypothetical protein
VP145_00033	CDS	891	cysL_1		COG0583	HTH-type transcriptional regulator CysL
VP145_00034	CDS	246				hypothetical protein
VP145_00035	CDS	867	btr_1		COG0614	HTH-type transcriptional activator Btr
VP145_00036	CDS	339			COG3171	putative protein
VP145_00037	CDS	2037				hypothetical protein
VP145_00038	CDS	1392	bglB	3.2.1.86	COG2723	6-phospho-beta-glucosidase BglB
VP145_00039	CDS	2073	dctB_1	2.7.13.3		C4-dicarboxylate transport sensor protein DctB
VP145_00040	CDS	1356	dctD_1			C4-dicarboxylate transport transcriptional regulatory protein DctD
VP145_00041	CDS	1257	dosC_1	2.7.7.65		Diguanylate cyclase DosC
VP145_00042	CDS	1311	brnQ_1		COG1114	Branched-chain amino acid transport system 2 carrier protein
VP145_00043	CDS	96				hypothetical protein
VP145_00044	CDS	1011				hypothetical protein
VP145_00045	CDS	2124	dctM_1		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
VP145_00046	CDS	1227	lhgO	1.1.3.15	COG0579	L-2-hydroxyglutarate oxidase LhgO
VP145_00047	CDS	396				hypothetical protein
VP145_00048	CDS	102				hypothetical protein
VP145_00049	CDS	1401	tnaA	4.1.99.1		Tryptophanase
VP145_00050	CDS	612				hypothetical protein
VP145_00051	tRNA	84				tRNA-Leu(gag)
VP145_00052	CDS	1209	psuT		COG1972	Putative pseudouridine transporter
VP145_00053	CDS	1095				hypothetical protein
VP145_00054	CDS	606				hypothetical protein
VP145_00055	CDS	1356	dgcC_1	2.7.7.65		putative diguanylate cyclase DgcC
VP145_00056	CDS	1998	pctC_1		COG0840	Methyl-accepting chemotaxis protein PctC
VP145_00057	CDS	1557				hypothetical protein
VP145_00058	CDS	579	glcB	2.3.3.9	COG2225	Malate synthase G
VP145_00059	CDS	1014	vdcA_1	2.7.7.65		Diguanylate cyclase VdcA
VP145_00060	CDS	1296	cry1		COG0415	Cryptochrome DASH
VP145_00061	CDS	1545	phrB	4.1.99.13	COG3046	(6-4) photolyase
VP145_00062	CDS	708	csgA_1			C-factor
VP145_00063	CDS	1143	msrAB_1		COG0225	Peptide methionine sulfoxide reductase MsrA/MsrB
VP145_00064	CDS	399	yhfA_1		COG1765	Protein YhfA
VP145_00065	CDS	555	maa_1	2.3.1.79	COG0110	Maltose O-acetyltransferase
VP145_00066	CDS	234				hypothetical protein
VP145_00067	CDS	870				hypothetical protein
VP145_00068	CDS	4119				hypothetical protein
VP145_00069	CDS	183				hypothetical protein
VP145_00070	CDS	687				hypothetical protein
VP145_00071	CDS	315				hypothetical protein
VP145_00072	CDS	924	dmlR_1			HTH-type transcriptional regulator DmlR
VP145_00073	CDS	675	yjjG	3.1.3.5	COG1011	Pyrimidine 5'-nucleotidase YjjG
VP145_00074	CDS	540	nudF_1	3.6.1.13	COG0494	ADP-ribose pyrophosphatase
VP145_00075	CDS	435				hypothetical protein
VP145_00076	CDS	552	ytfJ_1		COG3054	putative protein YtfJ
VP145_00077	CDS	720	cah_1	4.2.1.1	COG3338	Carbonic anhydrase
VP145_00078	CDS	1344	fadL_1		COG2067	Long-chain fatty acid transport protein
VP145_00079	CDS	1176	macA_1		COG0845	Macrolide export protein MacA
VP145_00080	CDS	1965	macB_1	3.6.3.-	COG0577	Macrolide export ATP-binding/permease protein MacB
VP145_00081	CDS	1377	arpC		COG1538	Antibiotic efflux pump outer membrane protein ArpC
VP145_00082	CDS	1254			COG3240	Thermolabile hemolysin
VP145_00083	CDS	2034	apr	3.4.21.62	COG1404	Subtilisin Carlsberg
VP145_00084	CDS	348				hypothetical protein
VP145_00085	CDS	1257	ulaA		COG3037	Ascorbate-specific PTS system EIIC component
VP145_00086	CDS	288	ulaB	2.7.1.194		Ascorbate-specific PTS system EIIB component
VP145_00087	CDS	444	ulaC_1		COG1762	Ascorbate-specific PTS system EIIA component
VP145_00088	CDS	1029	gntR_1			HTH-type transcriptional regulator GntR
VP145_00089	CDS	816	phnX	3.11.1.1	COG0637	Phosphonoacetaldehyde hydrolase
VP145_00090	CDS	1380		5.1.1.21	COG0160	Isoleucine 2-epimerase
VP145_00091	CDS	1104	phnW	2.6.1.37	COG0075	2-aminoethylphosphonate--pyruvate transaminase
VP145_00092	CDS	1008			COG1840	putative protein
VP145_00093	CDS	411	bltD_1	2.3.1.57	COG0454	Spermine/spermidine acetyltransferase
VP145_00094	CDS	1119	potA_1	3.6.3.31	COG3842	Spermidine/putrescine import ATP-binding protein PotA
VP145_00095	CDS	1725	potB_1		COG1176	Spermidine/putrescine transport system permease protein PotB
VP145_00096	CDS	705	phnR_1		COG2188	Putative transcriptional regulator of 2-aminoethylphosphonate degradation operons
VP145_00097	CDS	909				hypothetical protein
VP145_00098	CDS	552				hypothetical protein
VP145_00099	CDS	909			COG2990	putative protein
VP145_00100	CDS	1401	puuB_1	1.4.3.-		Gamma-glutamylputrescine oxidoreductase
VP145_00101	CDS	1203				hypothetical protein
VP145_00102	CDS	978	ompA_1			Outer membrane protein A
VP145_00103	CDS	870	gcvA_1			Glycine cleavage system transcriptional activator
VP145_00104	CDS	831				hypothetical protein
VP145_00105	CDS	876	pcpR_1			PCP degradation transcriptional activation protein
VP145_00106	CDS	237				hypothetical protein
VP145_00107	CDS	1497	dtpA		COG3104	Dipeptide and tripeptide permease A
VP145_00108	CDS	1371	sdaB	4.3.1.17	COG1760	L-serine dehydratase 2
VP145_00109	CDS	843				hypothetical protein
VP145_00110	CDS	657				hypothetical protein
VP145_00111	CDS	261				hypothetical protein
VP145_00112	CDS	519				hypothetical protein
VP145_00113	CDS	747	mltD_1	4.2.2.-	COG0741	Membrane-bound lytic murein transglycosylase D
VP145_00114	CDS	438				hypothetical protein
VP145_00115	CDS	282				hypothetical protein
VP145_00116	CDS	798				hypothetical protein
VP145_00117	CDS	363	flgB_1		COG1815	Flagellar basal body rod protein FlgB
VP145_00118	CDS	435	flgC_1		COG1558	Flagellar basal-body rod protein FlgC
